CG beads number:   37,  the thread number:   16
thread:  15,  CNa = 1000.000000,  CMg = 0.000000, t0 = 0.000000
thread: 8,  step: 19000,     T: 78.0,    Energy: 40.024429 kcal/mol
thread: 10,  step: 16000,     T: 94.0,    Energy: 13.806657 kcal/mol
thread: 7,  step: 18000,     T: 71.0,    Energy: 52.173470 kcal/mol
thread: 4,  step: 16000,     T: 49.0,    Energy: 30.806580 kcal/mol
thread: 13,  step: 17000,     T:120.0,    Energy: 24.047043 kcal/mol
thread: 1,  step: 17000,     T: 31.0,    Energy: 13.921539 kcal/mol
thread: 9,  step: 16000,     T: 86.0,    Energy: 29.608881 kcal/mol
thread: 5,  step: 17000,     T: 55.0,    Energy: 25.919043 kcal/mol
thread: 2,  step: 18000,     T: 37.0,    Energy: 13.939944 kcal/mol
thread: 11,  step: 15000,     T:102.0,    Energy: 35.809387 kcal/mol
thread: 15,  step: 19000,     T:  0.0,    Energy: 52.299755 kcal/mol
thread: 6,  step: 18000,     T: 63.0,    Energy: 26.894320 kcal/mol
thread: 14,  step: 18000,     T:130.0,    Energy: 50.076767 kcal/mol
thread: 0,  step: 17000,     T: 25.0,    Energy: 33.858925 kcal/mol
thread: 12,  step: 16000,     T:110.0,    Energy: 29.981113 kcal/mol
thread: 7,  step: 19000,     T: 71.0,    Energy: 37.908298 kcal/mol
thread: 10,  step: 17000,     T: 94.0,    Energy: 22.872990 kcal/mol
thread: 13,  step: 18000,     T:120.0,    Energy: 10.101069 kcal/mol
thread: 3,  step: 17000,     T: 43.0,    Energy: 41.424675 kcal/mol
thread: 5,  step: 18000,     T: 55.0,    Energy: 15.594944 kcal/mol
thread: 4,  step: 17000,     T: 49.0,    Energy: 35.095638 kcal/mol
thread: 8,  step: 20000,     T: 78.0,    Energy: 40.843819 kcal/mol
thread: 9,  step: 17000,     T: 86.0,    Energy: 19.262220 kcal/mol
thread: 11,  step: 16000,     T:102.0,    Energy: 36.149776 kcal/mol
thread: 2,  step: 19000,     T: 37.0,    Energy: 16.584499 kcal/mol
thread: 14,  step: 19000,     T:130.0,    Energy: 39.203606 kcal/mol
thread: 1,  step: 18000,     T: 31.0,    Energy: 13.624844 kcal/mol
thread: 15,  step: 20000,     T:  0.0,    Energy: 46.383083 kcal/mol
thread: 12,  step: 17000,     T:110.0,    Energy: 22.070066 kcal/mol
thread: 6,  step: 19000,     T: 63.0,    Energy: 32.734333 kcal/mol
thread: 7,  step: 20000,     T: 71.0,    Energy: 57.738064 kcal/mol
thread: 13,  step: 19000,     T:120.0,    Energy: 11.709472 kcal/mol
thread: 0,  step: 18000,     T: 25.0,    Energy: 23.797508 kcal/mol
thread: 5,  step: 19000,     T: 55.0,    Energy: 29.541475 kcal/mol
thread: 10,  step: 18000,     T: 94.0,    Energy: 14.621575 kcal/mol
thread: 9,  step: 18000,     T: 86.0,    Energy: 35.407001 kcal/mol
thread: 3,  step: 18000,     T: 43.0,    Energy: 32.111202 kcal/mol
thread: 11,  step: 17000,     T:102.0,    Energy: 12.558082 kcal/mol
thread: 14,  step: 20000,     T:130.0,    Energy: 46.289558 kcal/mol
thread: 4,  step: 18000,     T: 49.0,    Energy: 25.660654 kcal/mol
thread: 1,  step: 19000,     T: 31.0,    Energy: 21.350489 kcal/mol
thread: 8,  step: 21000,     T: 78.0,    Energy: 42.894958 kcal/mol
thread: 2,  step: 20000,     T: 37.0,    Energy: 15.131207 kcal/mol
thread: 7,  step: 21000,     T: 71.0,    Energy: 45.107395 kcal/mol
thread: 13,  step: 20000,     T:120.0,    Energy: 28.211828 kcal/mol
thread: 15,  step: 21000,     T:  0.0,    Energy: 45.821262 kcal/mol
thread: 5,  step: 20000,     T: 55.0,    Energy: 17.123941 kcal/mol
thread: 12,  step: 18000,     T:110.0,    Energy: 23.493307 kcal/mol
thread: 0,  step: 19000,     T: 25.0,    Energy: 22.719484 kcal/mol
thread: 3,  step: 19000,     T: 43.0,    Energy: 45.863010 kcal/mol
thread: 9,  step: 19000,     T: 86.0,    Energy: 18.854584 kcal/mol
thread: 6,  step: 20000,     T: 63.0,    Energy: 16.104670 kcal/mol
thread: 11,  step: 18000,     T:102.0,    Energy: 23.210972 kcal/mol
thread: 14,  step: 21000,     T:130.0,    Energy: 38.587925 kcal/mol
thread: 10,  step: 19000,     T: 94.0,    Energy: 24.179266 kcal/mol
thread: 2,  step: 21000,     T: 37.0,    Energy: 16.517843 kcal/mol
thread: 13,  step: 21000,     T:120.0,    Energy: 22.296282 kcal/mol
thread: 4,  step: 19000,     T: 49.0,    Energy: 34.299881 kcal/mol
thread: 5,  step: 21000,     T: 55.0,    Energy: 21.413378 kcal/mol
thread: 7,  step: 22000,     T: 71.0,    Energy: 40.300320 kcal/mol
thread: 0,  step: 20000,     T: 25.0,    Energy: 20.504858 kcal/mol
thread: 12,  step: 19000,     T:110.0,    Energy: 9.040431 kcal/mol
thread: 8,  step: 22000,     T: 78.0,    Energy: 48.180550 kcal/mol
thread: 1,  step: 20000,     T: 31.0,    Energy: 32.665638 kcal/mol
thread: 3,  step: 20000,     T: 43.0,    Energy: 41.293789 kcal/mol
thread: 9,  step: 20000,     T: 86.0,    Energy: 17.064734 kcal/mol
thread: 15,  step: 22000,     T:  0.0,    Energy: 42.710064 kcal/mol
thread: 11,  step: 19000,     T:102.0,    Energy: 21.694441 kcal/mol
thread: 2,  step: 22000,     T: 37.0,    Energy: 21.082281 kcal/mol
thread: 6,  step: 21000,     T: 63.0,    Energy: 14.168710 kcal/mol
thread: 5,  step: 22000,     T: 55.0,    Energy: 62.491497 kcal/mol
thread: 14,  step: 22000,     T:130.0,    Energy: 51.367363 kcal/mol
thread: 0,  step: 21000,     T: 25.0,    Energy: 25.477962 kcal/mol
thread: 12,  step: 20000,     T:110.0,    Energy: 19.808727 kcal/mol
thread: 10,  step: 20000,     T: 94.0,    Energy: 15.238332 kcal/mol
thread: 7,  step: 23000,     T: 71.0,    Energy: 44.033779 kcal/mol
thread: 13,  step: 22000,     T:120.0,    Energy: 15.079591 kcal/mol
thread: 3,  step: 21000,     T: 43.0,    Energy: 79.723969 kcal/mol
thread: 4,  step: 20000,     T: 49.0,    Energy: 20.938257 kcal/mol
thread: 9,  step: 21000,     T: 86.0,    Energy: 24.951111 kcal/mol
thread: 8,  step: 23000,     T: 78.0,    Energy: 47.786812 kcal/mol
thread: 1,  step: 21000,     T: 31.0,    Energy: 8.167434 kcal/mol
