CG beads number:   49,  the thread number:   16
thread:  1,  CNa = 0.000000,  CMg = 0.000000, t0 = 31.000000
thread: 7,  step: 15000,     T: 71.0,    Energy: 23.440544 kcal/mol
thread: 9,  step: 12000,     T: 86.0,    Energy: 15.632820 kcal/mol
thread: 1,  step: 13000,     T: 31.0,    Energy: 13.296333 kcal/mol
thread: 12,  step: 10000,     T:110.0,    Energy: 23.665009 kcal/mol
thread: 0,  step: 15000,     T: 25.0,    Energy: 21.222141 kcal/mol
thread: 3,  step: 12000,     T: 43.0,    Energy: 17.920929 kcal/mol
thread: 6,  step: 10000,     T: 63.0,    Energy: 23.754822 kcal/mol
thread: 13,  step: 12000,     T:120.0,    Energy: 24.088095 kcal/mol
thread: 10,  step: 11000,     T: 94.0,    Energy: 20.448946 kcal/mol
thread: 2,  step: 13000,     T: 37.0,    Energy: 34.142727 kcal/mol
thread: 5,  step: 13000,     T: 55.0,    Energy: 18.917358 kcal/mol
thread: 7,  step: 16000,     T: 71.0,    Energy: 14.649076 kcal/mol
thread: 15,  step: 13000,     T:  0.0,    Energy: 40.780727 kcal/mol
thread: 14,  step: 12000,     T:130.0,    Energy: 29.750959 kcal/mol
thread: 12,  step: 11000,     T:110.0,    Energy: 38.852623 kcal/mol
thread: 4,  step: 14000,     T: 49.0,    Energy: 7.141760 kcal/mol
thread: 3,  step: 13000,     T: 43.0,    Energy: 34.102924 kcal/mol
thread: 8,  step: 10000,     T: 78.0,    Energy: 14.549389 kcal/mol
thread: 13,  step: 13000,     T:120.0,    Energy: 31.457958 kcal/mol
thread: 10,  step: 12000,     T: 94.0,    Energy: 14.960583 kcal/mol
thread: 2,  step: 14000,     T: 37.0,    Energy: 12.072742 kcal/mol
thread: 11,  step: 11000,     T:102.0,    Energy: 40.479942 kcal/mol
thread: 5,  step: 14000,     T: 55.0,    Energy: 14.978680 kcal/mol
thread: 0,  step: 16000,     T: 25.0,    Energy: 2.608181 kcal/mol
thread: 6,  step: 11000,     T: 63.0,    Energy: 14.536217 kcal/mol
thread: 9,  step: 13000,     T: 86.0,    Energy: 17.093412 kcal/mol
thread: 1,  step: 14000,     T: 31.0,    Energy: 36.345192 kcal/mol
thread: 7,  step: 17000,     T: 71.0,    Energy: 28.088984 kcal/mol
thread: 15,  step: 14000,     T:  0.0,    Energy: 37.972740 kcal/mol
thread: 3,  step: 14000,     T: 43.0,    Energy: 21.823343 kcal/mol
thread: 10,  step: 13000,     T: 94.0,    Energy: 32.265255 kcal/mol
thread: 2,  step: 15000,     T: 37.0,    Energy: 29.436783 kcal/mol
thread: 13,  step: 14000,     T:120.0,    Energy: 23.626923 kcal/mol
thread: 5,  step: 15000,     T: 55.0,    Energy: 28.029238 kcal/mol
thread: 14,  step: 13000,     T:130.0,    Energy: 26.581526 kcal/mol
thread: 6,  step: 12000,     T: 63.0,    Energy: 23.546221 kcal/mol
thread: 12,  step: 12000,     T:110.0,    Energy: 41.299988 kcal/mol
thread: 1,  step: 15000,     T: 31.0,    Energy: 37.552071 kcal/mol
thread: 0,  step: 17000,     T: 25.0,    Energy: 16.245586 kcal/mol
thread: 11,  step: 12000,     T:102.0,    Energy: 37.826145 kcal/mol
thread: 4,  step: 15000,     T: 49.0,    Energy: 37.570568 kcal/mol
thread: 8,  step: 11000,     T: 78.0,    Energy: 28.798319 kcal/mol
thread: 9,  step: 14000,     T: 86.0,    Energy: 31.120056 kcal/mol
thread: 2,  step: 16000,     T: 37.0,    Energy: 14.088810 kcal/mol
thread: 10,  step: 14000,     T: 94.0,    Energy: 7.372078 kcal/mol
thread: 5,  step: 16000,     T: 55.0,    Energy: 24.709024 kcal/mol
thread: 14,  step: 14000,     T:130.0,    Energy: 30.853325 kcal/mol
thread: 3,  step: 15000,     T: 43.0,    Energy: 35.588398 kcal/mol
thread: 6,  step: 13000,     T: 63.0,    Energy: 16.779242 kcal/mol
thread: 1,  step: 16000,     T: 31.0,    Energy: 18.792225 kcal/mol
thread: 7,  step: 18000,     T: 71.0,    Energy: 21.904789 kcal/mol
thread: 15,  step: 15000,     T:  0.0,    Energy: 36.415749 kcal/mol
thread: 4,  step: 16000,     T: 49.0,    Energy: 23.164673 kcal/mol
thread: 13,  step: 15000,     T:120.0,    Energy: 34.149925 kcal/mol
thread: 2,  step: 17000,     T: 37.0,    Energy: 26.917805 kcal/mol
thread: 10,  step: 15000,     T: 94.0,    Energy: 30.411358 kcal/mol
thread: 5,  step: 17000,     T: 55.0,    Energy: 11.874319 kcal/mol
thread: 12,  step: 13000,     T:110.0,    Energy: 32.257736 kcal/mol
thread: 0,  step: 18000,     T: 25.0,    Energy: 17.819788 kcal/mol
thread: 14,  step: 15000,     T:130.0,    Energy: 23.713295 kcal/mol
thread: 9,  step: 15000,     T: 86.0,    Energy: 26.710831 kcal/mol
thread: 6,  step: 14000,     T: 63.0,    Energy: 25.389780 kcal/mol
thread: 11,  step: 13000,     T:102.0,    Energy: 34.145393 kcal/mol
thread: 8,  step: 12000,     T: 78.0,    Energy: 18.072380 kcal/mol
thread: 3,  step: 16000,     T: 43.0,    Energy: 26.953491 kcal/mol
thread: 7,  step: 19000,     T: 71.0,    Energy: 18.707466 kcal/mol
thread: 2,  step: 18000,     T: 37.0,    Energy: 40.538532 kcal/mol
thread: 5,  step: 18000,     T: 55.0,    Energy: 22.554235 kcal/mol
thread: 1,  step: 17000,     T: 31.0,    Energy: 25.158833 kcal/mol
thread: 15,  step: 16000,     T:  0.0,    Energy: 27.233046 kcal/mol
thread: 13,  step: 16000,     T:120.0,    Energy: 27.213408 kcal/mol
thread: 14,  step: 16000,     T:130.0,    Energy: 29.342194 kcal/mol
thread: 6,  step: 15000,     T: 63.0,    Energy: 22.233309 kcal/mol
thread: 4,  step: 17000,     T: 49.0,    Energy: 27.716343 kcal/mol
thread: 10,  step: 16000,     T: 94.0,    Energy: 28.842840 kcal/mol
thread: 3,  step: 17000,     T: 43.0,    Energy: 25.429462 kcal/mol
thread: 0,  step: 19000,     T: 25.0,    Energy: 13.518970 kcal/mol
thread: 11,  step: 14000,     T:102.0,    Energy: 35.773972 kcal/mol
thread: 7,  step: 20000,     T: 71.0,    Energy: 29.031593 kcal/mol
thread: 9,  step: 16000,     T: 86.0,    Energy: 20.391493 kcal/mol
thread: 8,  step: 13000,     T: 78.0,    Energy: 27.995443 kcal/mol
thread: 2,  step: 19000,     T: 37.0,    Energy: 30.819599 kcal/mol
thread: 12,  step: 14000,     T:110.0,    Energy: 30.753847 kcal/mol
thread: 5,  step: 19000,     T: 55.0,    Energy: 27.150557 kcal/mol
thread: 13,  step: 17000,     T:120.0,    Energy: 24.226002 kcal/mol
thread: 14,  step: 17000,     T:130.0,    Energy: 18.973381 kcal/mol
thread: 6,  step: 16000,     T: 63.0,    Energy: 26.185604 kcal/mol
thread: 3,  step: 18000,     T: 43.0,    Energy: 23.894888 kcal/mol
thread: 7,  step: 21000,     T: 71.0,    Energy: 36.024380 kcal/mol
thread: 8,  step: 14000,     T: 78.0,    Energy: 38.352768 kcal/mol
thread: 2,  step: 20000,     T: 37.0,    Energy: 18.724487 kcal/mol
thread: 15,  step: 17000,     T:  0.0,    Energy: 34.945694 kcal/mol
thread: 1,  step: 18000,     T: 31.0,    Energy: 5.027229 kcal/mol
thread: 5,  step: 20000,     T: 55.0,    Energy: 26.805809 kcal/mol
thread: 6,  step: 17000,     T: 63.0,    Energy: 25.199028 kcal/mol
thread: 13,  step: 18000,     T:120.0,    Energy: 33.916557 kcal/mol
thread: 14,  step: 18000,     T:130.0,    Energy: 16.082962 kcal/mol
thread: 4,  step: 18000,     T: 49.0,    Energy: 32.722008 kcal/mol
thread: 10,  step: 17000,     T: 94.0,    Energy: 21.571323 kcal/mol
thread: 9,  step: 17000,     T: 86.0,    Energy: 18.814297 kcal/mol
thread: 0,  step: 20000,     T: 25.0,    Energy: 20.052246 kcal/mol
thread: 11,  step: 15000,     T:102.0,    Energy: 31.281292 kcal/mol
thread: 12,  step: 15000,     T:110.0,    Energy: 30.397610 kcal/mol
thread: 8,  step: 15000,     T: 78.0,    Energy: 34.108574 kcal/mol
thread: 2,  step: 21000,     T: 37.0,    Energy: 41.329304 kcal/mol
thread: 7,  step: 22000,     T: 71.0,    Energy: 37.289860 kcal/mol
thread: 3,  step: 19000,     T: 43.0,    Energy: 24.724871 kcal/mol
thread: 5,  step: 21000,     T: 55.0,    Energy: 15.765474 kcal/mol
thread: 6,  step: 18000,     T: 63.0,    Energy: 10.129063 kcal/mol
thread: 13,  step: 19000,     T:120.0,    Energy: 22.101601 kcal/mol
thread: 14,  step: 19000,     T:130.0,    Energy: 17.089725 kcal/mol
thread: 9,  step: 18000,     T: 86.0,    Energy: 17.477417 kcal/mol
thread: 11,  step: 16000,     T:102.0,    Energy: 27.215412 kcal/mol
thread: 15,  step: 18000,     T:  0.0,    Energy: 34.558426 kcal/mol
thread: 1,  step: 19000,     T: 31.0,    Energy: 22.158340 kcal/mol
