CG beads number:   49,  the thread number:   16
thread:  5,  CNa = 1000.000000,  CMg = 0.000000, t0 = 55.000000
thread: 2,  step: 10000,     T: 37.0,    Energy: 19.005581 kcal/mol
thread: 14,  step: 11000,     T:130.0,    Energy: 18.716640 kcal/mol
thread: 11,  step: 11000,     T:102.0,    Energy: 19.985470 kcal/mol
thread: 1,  step:  8000,     T: 31.0,    Energy: 18.472912 kcal/mol
thread: 0,  step: 10000,     T: 25.0,    Energy: 15.828965 kcal/mol
thread: 13,  step: 14000,     T:120.0,    Energy: 20.736986 kcal/mol
thread: 15,  step: 11000,     T:  0.0,    Energy: 27.596724 kcal/mol
thread: 12,  step: 10000,     T:110.0,    Energy: 25.855366 kcal/mol
thread: 5,  step: 10000,     T: 55.0,    Energy: 11.455429 kcal/mol
thread: 8,  step:  9000,     T: 78.0,    Energy: 12.239380 kcal/mol
thread: 9,  step:  8000,     T: 86.0,    Energy: 23.577124 kcal/mol
thread: 3,  step: 14000,     T: 43.0,    Energy: 18.316330 kcal/mol
thread: 10,  step: 13000,     T: 94.0,    Energy: 36.489407 kcal/mol
thread: 6,  step: 13000,     T: 63.0,    Energy: 30.811302 kcal/mol
thread: 7,  step: 13000,     T: 71.0,    Energy: 29.427050 kcal/mol
thread: 2,  step: 11000,     T: 37.0,    Energy: 14.684313 kcal/mol
thread: 4,  step:  9000,     T: 49.0,    Energy: 30.035955 kcal/mol
thread: 11,  step: 12000,     T:102.0,    Energy: 16.654137 kcal/mol
thread: 0,  step: 11000,     T: 25.0,    Energy: 24.771185 kcal/mol
thread: 13,  step: 15000,     T:120.0,    Energy: 25.558788 kcal/mol
thread: 3,  step: 15000,     T: 43.0,    Energy: 31.603739 kcal/mol
thread: 10,  step: 14000,     T: 94.0,    Energy: 24.298916 kcal/mol
thread: 14,  step: 12000,     T:130.0,    Energy: 42.041767 kcal/mol
thread: 7,  step: 14000,     T: 71.0,    Energy: 26.092922 kcal/mol
thread: 2,  step: 12000,     T: 37.0,    Energy: 27.377371 kcal/mol
thread: 11,  step: 13000,     T:102.0,    Energy: 23.626188 kcal/mol
thread: 12,  step: 11000,     T:110.0,    Energy: 22.484053 kcal/mol
thread: 1,  step:  9000,     T: 31.0,    Energy: 26.071011 kcal/mol
thread: 4,  step: 10000,     T: 49.0,    Energy: 29.853537 kcal/mol
thread: 5,  step: 11000,     T: 55.0,    Energy: 24.173573 kcal/mol
thread: 15,  step: 12000,     T:  0.0,    Energy: 32.096630 kcal/mol
thread: 9,  step:  9000,     T: 86.0,    Energy: 23.116577 kcal/mol
thread: 8,  step: 10000,     T: 78.0,    Energy: 8.896813 kcal/mol
thread: 0,  step: 12000,     T: 25.0,    Energy: 19.536718 kcal/mol
thread: 3,  step: 16000,     T: 43.0,    Energy: 17.628639 kcal/mol
thread: 13,  step: 16000,     T:120.0,    Energy: 36.254551 kcal/mol
thread: 6,  step: 14000,     T: 63.0,    Energy: 20.724205 kcal/mol
thread: 14,  step: 13000,     T:130.0,    Energy: 20.385176 kcal/mol
thread: 7,  step: 15000,     T: 71.0,    Energy: 28.692253 kcal/mol
thread: 10,  step: 15000,     T: 94.0,    Energy: 16.372971 kcal/mol
thread: 2,  step: 13000,     T: 37.0,    Energy: 21.403872 kcal/mol
thread: 4,  step: 11000,     T: 49.0,    Energy: 9.462235 kcal/mol
thread: 11,  step: 14000,     T:102.0,    Energy: 21.006462 kcal/mol
thread: 8,  step: 11000,     T: 78.0,    Energy: 11.517930 kcal/mol
thread: 3,  step: 17000,     T: 43.0,    Energy: 33.707230 kcal/mol
thread: 13,  step: 17000,     T:120.0,    Energy: 39.809952 kcal/mol
thread: 1,  step: 10000,     T: 31.0,    Energy: 20.013807 kcal/mol
thread: 5,  step: 12000,     T: 55.0,    Energy: 25.894260 kcal/mol
thread: 7,  step: 16000,     T: 71.0,    Energy: 16.635412 kcal/mol
thread: 15,  step: 13000,     T:  0.0,    Energy: 27.476788 kcal/mol
thread: 10,  step: 16000,     T: 94.0,    Energy: 51.318981 kcal/mol
thread: 12,  step: 12000,     T:110.0,    Energy: 17.693874 kcal/mol
thread: 4,  step: 12000,     T: 49.0,    Energy: 21.823874 kcal/mol
thread: 9,  step: 10000,     T: 86.0,    Energy: 27.036255 kcal/mol
thread: 8,  step: 12000,     T: 78.0,    Energy: 15.591253 kcal/mol
thread: 14,  step: 14000,     T:130.0,    Energy: 33.831097 kcal/mol
thread: 0,  step: 13000,     T: 25.0,    Energy: 20.475285 kcal/mol
thread: 13,  step: 18000,     T:120.0,    Energy: 31.890463 kcal/mol
thread: 1,  step: 11000,     T: 31.0,    Energy: 17.135611 kcal/mol
thread: 6,  step: 15000,     T: 63.0,    Energy: 24.171564 kcal/mol
thread: 5,  step: 13000,     T: 55.0,    Energy: 7.100448 kcal/mol
thread: 11,  step: 15000,     T:102.0,    Energy: 34.680092 kcal/mol
thread: 7,  step: 17000,     T: 71.0,    Energy: 22.539467 kcal/mol
thread: 15,  step: 14000,     T:  0.0,    Energy: 29.731619 kcal/mol
thread: 2,  step: 14000,     T: 37.0,    Energy: 27.839241 kcal/mol
thread: 4,  step: 13000,     T: 49.0,    Energy: 33.040916 kcal/mol
thread: 8,  step: 13000,     T: 78.0,    Energy: 35.451721 kcal/mol
thread: 3,  step: 18000,     T: 43.0,    Energy: 24.466301 kcal/mol
thread: 5,  step: 14000,     T: 55.0,    Energy: 24.788685 kcal/mol
thread: 0,  step: 14000,     T: 25.0,    Energy: 22.253784 kcal/mol
thread: 10,  step: 17000,     T: 94.0,    Energy: 21.095228 kcal/mol
thread: 13,  step: 19000,     T:120.0,    Energy: 32.276829 kcal/mol
thread: 11,  step: 16000,     T:102.0,    Energy: 44.091816 kcal/mol
thread: 7,  step: 18000,     T: 71.0,    Energy: 27.174526 kcal/mol
thread: 15,  step: 15000,     T:  0.0,    Energy: 19.048717 kcal/mol
thread: 9,  step: 11000,     T: 86.0,    Energy: 31.760056 kcal/mol
thread: 12,  step: 13000,     T:110.0,    Energy: 31.365961 kcal/mol
thread: 4,  step: 14000,     T: 49.0,    Energy: 17.904280 kcal/mol
